Start time: 1716937837849
[2024-05-28 19:10:39.046608] nuttcp-t: v8.1.4: socket
[2024-05-28 19:10:39.047071] nuttcp-t: buflen=1400, nstream=1, port=5002 udp -> 35.245.244.238
[2024-05-28 19:10:39.047113] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 19:10:39.047145] nuttcp-t: rate limit = 300.000 Mbps (aggregate), 26785 pps
[2024-05-28 19:10:39.047174] nuttcp-t: send window size = 229376, receive window size = 229376
[2024-05-28 19:10:39.047204] nuttcp-t: available send window = 172032, available receive window = 172032
[2024-05-28 19:10:39.047235] nuttcp-r: v8.1.4: socket
[2024-05-28 19:10:39.047263] nuttcp-r: buflen=1400, nstream=1, port=5002 udp
[2024-05-28 19:10:39.047317] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 19:10:39.047359] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 19:10:39.047387] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 19:11:12.223345]     0.5568 MB /   0.50 sec =    9.3415 Mbps     0 /   417 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:12.560039]     0.5621 MB /   0.50 sec =    9.4310 Mbps    30 /   451 ~drop/pkt  6.65 ~%loss
[2024-05-28 19:11:13.008038]     1.0120 MB /   0.50 sec =   16.9786 Mbps     0 /   758 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:13.512440]     1.0094 MB /   0.50 sec =   16.9340 Mbps     0 /   756 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:14.008352]     1.0988 MB /   0.50 sec =   18.4348 Mbps     0 /   823 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:14.515088]     0.9893 MB /   0.50 sec =   16.5987 Mbps     0 /   741 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:15.012017]     0.8144 MB /   0.50 sec =   13.6645 Mbps     0 /   610 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:15.516276]     0.7784 MB /   0.50 sec =   13.0594 Mbps     0 /   583 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:16.062995]     0.8745 MB /   0.50 sec =   14.6713 Mbps     0 /   655 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:16.519932]     0.8411 MB /   0.50 sec =   14.1134 Mbps     0 /   630 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:17.016022]     0.8652 MB /   0.50 sec =   14.5146 Mbps     0 /   648 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:17.519814]     0.9186 MB /   0.50 sec =   15.4107 Mbps     0 /   688 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:18.119145]     0.8825 MB /   0.50 sec =   14.8062 Mbps     0 /   661 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:18.536365]     0.2684 MB /   0.50 sec =    4.5024 Mbps    61 /   262 ~drop/pkt 23.28 ~%loss
[2024-05-28 19:11:19.087742]     0.5207 MB /   0.50 sec =    8.7362 Mbps     0 /   390 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:19.595010]     0.5180 MB /   0.50 sec =    8.6913 Mbps     0 /   388 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:20.083736]     0.5060 MB /   0.50 sec =    8.4892 Mbps     0 /   379 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:20.536521]     0.5074 MB /   0.50 sec =    8.5122 Mbps     0 /   380 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:21.091474]     0.5554 MB /   0.50 sec =    9.3185 Mbps     0 /   416 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:21.604103]     0.6102 MB /   0.50 sec =   10.2361 Mbps     0 /   457 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:22.048310]     0.6021 MB /   0.50 sec =   10.1031 Mbps     0 /   451 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:22.540534]     0.7196 MB /   0.50 sec =   12.0736 Mbps     0 /   539 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:23.042993]     0.6235 MB /   0.50 sec =   10.4607 Mbps     0 /   467 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:23.548428]     0.5501 MB /   0.50 sec =    9.2292 Mbps     0 /   412 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:24.004348]     0.6409 MB /   0.50 sec =   10.7522 Mbps     0 /   480 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:24.544597]     0.6796 MB /   0.50 sec =   11.4012 Mbps     0 /   509 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:25.051920]     0.7677 MB /   0.50 sec =   12.8802 Mbps     0 /   575 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:25.556792]     0.7624 MB /   0.50 sec =   12.7902 Mbps     0 /   571 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:26.007847]     0.7717 MB /   0.50 sec =   12.9473 Mbps     0 /   578 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:26.549745]     0.8505 MB /   0.50 sec =   14.2670 Mbps     0 /   637 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:27.052386]     0.8532 MB /   0.50 sec =   14.3134 Mbps     0 /   639 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:27.515991]     0.8759 MB /   0.50 sec =   14.6960 Mbps     0 /   656 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:28.060098]     0.7263 MB /   0.50 sec =   12.1854 Mbps     0 /   544 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:28.601614]     0.4566 MB /   0.50 sec =    7.6607 Mbps     0 /   342 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:29.055409]     0.6008 MB /   0.50 sec =   10.0804 Mbps     0 /   450 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:29.507946]     0.6382 MB /   0.50 sec =   10.7071 Mbps     0 /   478 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:30.012878]     0.5808 MB /   0.50 sec =    9.7439 Mbps     0 /   435 ~drop/pkt  0.00 ~%loss
