Start time: 1716924209525
[2024-05-28 15:23:53.185884] Connecting to host 35.245.244.238, port 5202
[2024-05-28 15:23:53.186516] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:23:53.186561] [  5] local 10.45.167.251 port 54356 connected to 35.245.244.238 port 5202
[2024-05-28 15:23:53.186594] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:24:42.186640] [  5]  55.50-56.00  sec  12.5 MBytes   209 Mbits/sec  0.092 ms  13168/22514 (58%)  
[2024-05-28 15:24:42.186680] [  5]  56.00-56.50  sec  12.5 MBytes   210 Mbits/sec  0.282 ms  12814/22186 (58%)  
[2024-05-28 15:24:42.186719] [  5]  56.50-57.00  sec  12.4 MBytes   208 Mbits/sec  0.206 ms  13246/22518 (59%)  
[2024-05-28 15:24:42.186758] [  5]  57.00-57.50  sec  13.1 MBytes   220 Mbits/sec  0.069 ms  12207/22044 (55%)  
[2024-05-28 15:24:42.186797] [  5]  57.50-58.00  sec  11.6 MBytes   194 Mbits/sec  0.055 ms  11736/20392 (58%)  
[2024-05-28 15:24:42.186837] [  5]  58.00-58.50  sec  13.5 MBytes   227 Mbits/sec  0.029 ms  14196/24313 (58%)  
[2024-05-28 15:24:42.186876] [  5]  58.50-59.00  sec  13.0 MBytes   219 Mbits/sec  0.093 ms  12686/22442 (57%)  
[2024-05-28 15:24:42.186916] [  5]  59.00-59.50  sec  12.5 MBytes   210 Mbits/sec  0.308 ms  12981/22368 (58%)  
[2024-05-28 15:24:42.186956] [  5]  59.50-60.00  sec  10.9 MBytes   183 Mbits/sec  0.061 ms  12422/20607 (60%)  
[2024-05-28 15:24:42.186995] [  5]  60.00-60.50  sec  10.9 MBytes   182 Mbits/sec  0.034 ms  15974/24101 (66%)  
[2024-05-28 15:24:42.187034] [  5]  60.50-61.00  sec  11.9 MBytes   200 Mbits/sec  0.084 ms  13359/22289 (60%)  
[2024-05-28 15:24:42.187073] [  5]  61.00-61.50  sec  12.6 MBytes   211 Mbits/sec  0.270 ms  12915/22332 (58%)  
[2024-05-28 15:24:42.187112] [  5]  61.50-62.00  sec  11.3 MBytes   190 Mbits/sec  0.071 ms  13462/21961 (61%)  
[2024-05-28 15:24:42.187152] [  5]  62.00-62.50  sec  12.4 MBytes   209 Mbits/sec  0.059 ms  13042/22366 (58%)  
