Start time: 1716923220273
[2024-05-28 15:07:23.137659] Connecting to host 35.245.244.238, port 5201
[2024-05-28 15:07:23.138271] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:07:23.138309] [  5] local 100.118.80.242 port 58248 connected to 35.245.244.238 port 5201
[2024-05-28 15:07:23.138340] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:08:09.640127] [  5]  52.50-53.00  sec  6.84 KBytes   112 Kbits/sec  2.687 ms  22387/22392 (1e+02%)  
[2024-05-28 15:08:09.640228] [  5]  53.00-53.50  sec  6.84 KBytes   112 Kbits/sec  2.410 ms  23298/23303 (1e+02%)  
[2024-05-28 15:08:09.640329] [  5]  53.50-54.00  sec  6.84 KBytes   112 Kbits/sec  1.919 ms  22496/22501 (1e+02%)  
[2024-05-28 15:08:09.640430] [  5]  54.00-54.50  sec  6.84 KBytes   112 Kbits/sec  1.675 ms  22350/22355 (1e+02%)  
[2024-05-28 15:08:09.640531] [  5]  54.50-55.00  sec  6.84 KBytes   112 Kbits/sec  1.374 ms  22594/22599 (1e+02%)  
[2024-05-28 15:08:09.640631] [  5]  55.00-55.50  sec  6.84 KBytes   112 Kbits/sec  1.149 ms  22671/22676 (1e+02%)  
[2024-05-28 15:08:09.640734] [  5]  55.50-56.00  sec  6.84 KBytes   112 Kbits/sec  0.996 ms  22858/22863 (1e+02%)  
[2024-05-28 15:08:09.640836] [  5]  56.00-56.50  sec  6.84 KBytes   112 Kbits/sec  1.011 ms  22668/22673 (1e+02%)  
[2024-05-28 15:08:09.640937] [  5]  56.50-57.00  sec  6.84 KBytes   112 Kbits/sec  1.477 ms  22489/22494 (1e+02%)  
[2024-05-28 15:08:09.641035] [  5]  57.00-57.50  sec  6.84 KBytes   112 Kbits/sec  1.336 ms  22602/22607 (1e+02%)  
[2024-05-28 15:08:09.641135] [  5]  57.50-58.00  sec  6.84 KBytes   112 Kbits/sec  1.836 ms  22707/22712 (1e+02%)  
[2024-05-28 15:08:09.641236] [  5]  58.00-58.50  sec  6.84 KBytes   112 Kbits/sec  1.546 ms  22853/22858 (1e+02%)  
[2024-05-28 15:08:09.641338] [  5]  58.50-59.00  sec  5.47 KBytes  89.6 Kbits/sec  1.976 ms  18006/18010 (1e+02%)  
[2024-05-28 15:08:09.641441] [  5]  59.00-59.50  sec  6.84 KBytes   112 Kbits/sec  1.777 ms  22609/22614 (1e+02%)  
[2024-05-28 15:08:09.641542] [  5]  59.50-60.00  sec  6.84 KBytes   112 Kbits/sec  2.174 ms  22446/22451 (1e+02%)  
[2024-05-28 15:08:09.641835] [  5]  60.00-60.50  sec  6.84 KBytes   112 Kbits/sec  1.760 ms  22456/22461 (1e+02%)  
[2024-05-28 15:08:09.641952] [  5]  60.50-61.00  sec  6.84 KBytes   112 Kbits/sec  1.899 ms  22585/22590 (1e+02%)  
[2024-05-28 15:08:09.642070] [  5]  61.00-61.50  sec  6.84 KBytes   112 Kbits/sec  2.039 ms  22717/22722 (1e+02%)  
[2024-05-28 15:08:09.642173] [  5]  61.50-62.00  sec  6.84 KBytes   112 Kbits/sec  2.697 ms  22521/22526 (1e+02%)  
[2024-05-28 15:08:09.642283] [  5]  62.00-62.50  sec  6.84 KBytes   112 Kbits/sec  2.970 ms  22562/22567 (1e+02%)  
[2024-05-28 15:08:09.642385] [  5]  62.50-63.00  sec  6.84 KBytes   112 Kbits/sec  3.885 ms  22625/22630 (1e+02%)  
[2024-05-28 15:08:09.642487] [  5]  63.00-63.50  sec  6.84 KBytes   112 Kbits/sec  3.299 ms  22557/22562 (1e+02%)  
