Start time: 1716838607505
[2024-05-27 15:37:37.672820] Connecting to host 35.245.244.238, port 5201
[2024-05-27 15:37:37.673738] [  5] local 100.126.163.120 port 47124 connected to 35.245.244.238 port 5201
[2024-05-27 15:37:37.673793] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 15:39:05.395980] [  5] 113.00-113.50 sec   328 KBytes  5.38 Mbits/sec  240  
[2024-05-27 15:39:05.396013] [  5] 113.50-114.00 sec   396 KBytes  6.50 Mbits/sec  290  
[2024-05-27 15:39:05.396068] [  5] 114.00-114.50 sec   396 KBytes  6.50 Mbits/sec  290  
[2024-05-27 15:39:05.396101] [  5] 114.50-115.00 sec   506 KBytes  8.29 Mbits/sec  370  
[2024-05-27 15:39:05.396134] [  5] 115.00-115.50 sec   465 KBytes  7.62 Mbits/sec  340  
[2024-05-27 15:39:05.396165] [  5] 115.50-116.00 sec   383 KBytes  6.27 Mbits/sec  280  
[2024-05-27 15:39:05.396197] [  5] 116.00-116.50 sec   451 KBytes  7.39 Mbits/sec  330  
[2024-05-27 15:39:05.396282] [  5] 116.50-117.00 sec   410 KBytes  6.72 Mbits/sec  300  
[2024-05-27 15:39:05.396314] [  5] 117.00-117.50 sec   465 KBytes  7.61 Mbits/sec  340  
[2024-05-27 15:39:05.396347] [  5] 117.50-118.00 sec   438 KBytes  7.17 Mbits/sec  320  
[2024-05-27 15:39:05.396379] [  5] 118.00-118.50 sec   615 KBytes  10.1 Mbits/sec  450  
[2024-05-27 15:39:05.396495] [  5] 118.50-119.00 sec   410 KBytes  6.72 Mbits/sec  300  
[2024-05-27 15:39:05.396589] [  5] 119.00-119.50 sec   492 KBytes  8.06 Mbits/sec  360  
[2024-05-27 15:39:05.396684] [  5] 119.50-120.00 sec   561 KBytes  9.18 Mbits/sec  410  
[2024-05-27 15:39:05.396715] - - - - - - - - - - - - - - - - - - - - - - - - -
[2024-05-27 15:39:05.396746] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-27 15:39:05.396776] [  5]   0.00-120.00 sec  61.9 MBytes  4.33 Mbits/sec  0.000 ms  0/46370 (0%)  sender
